LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-09-01 20:48:54,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E4,-82, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:54,1900-01-00 00:00:00,,B4:20:46:88:9C:84,-3, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:54,1900-01-00 00:00:00,,B4:20:46:88:9C:86,-4, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:54,1900-01-00 00:00:00,,B4:20:46:88:9C:84,-5, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:54,1900-01-00 00:00:00,,B4:20:46:88:9C:88,-4, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:54,1900-01-00 00:00:00,Casa32,B4:20:46:88:9C:86,-5, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:55,1900-01-00 00:00:00,,66:83:E7:07:85:4A,-26, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:56,1900-01-00 00:00:00,,6A:64:4A:BB:11:23,-6, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:57,1900-01-00 00:00:00,,5C:02:14:B6:E8:8B,-6, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:57,1900-01-00 00:00:00,,6A:64:4A:BB:11:23,-5, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:57,1900-01-00 00:00:00,,38:68:A4:2B:8D:9E,-68,,0.000000,0.000000,0.000,0.000,Client
2025-09-01 20:48:57,1900-01-00 00:00:00,32_Burotto-Xiaomi,5C:02:14:B6:E8:8B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:57,1900-01-00 00:00:00,32_Burotto-Xiaomi,5C:02:14:B6:E8:8B,-5, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:57,1900-01-00 00:00:00,,64:64:4A:BB:11:23,-5, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:57,1900-01-00 00:00:00,32_Burotto-Xiaomi,5C:02:14:B6:E8:8B,-6, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:57,1900-01-00 00:00:00,,62:02:14:B6:E8:8B,-7, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:48:57,1900-01-00 00:00:00,32_Burotto-Xiaomi,64:64:4A:BB:11:23,-5, WPA2 ,0.000000,0.000000,0.000,0.000,AP
