LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-09-01 20:45:49,1900-01-00 00:00:00,,B4:20:46:88:9C:84,-127, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,,B4:20:46:88:9C:88,-127, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,,B4:20:46:88:9C:86,-127, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,,B4:20:46:88:9C:84,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,,B4:20:46:88:9C:88,-127, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,Casa32,B4:20:46:88:9C:86,-127, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E4,-76,,0.000000,0.000000,0.000,0.000,Client
2025-09-01 20:45:49,1900-01-00 00:00:00,,B4:20:46:88:9C:84,-35,,0.000000,0.000000,0.000,0.000,Client
2025-09-01 20:45:49,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E4,-23, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E8,-22, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E4,-71,,0.000000,0.000000,0.000,0.000,Client
2025-09-01 20:45:49,1900-01-00 00:00:00,,2C:5D:93:7C:2D:58,-22, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,CamEstacio,2C:5D:93:7C:2D:58,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,CamEstacio,2C:5D:93:7C:2D:58,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:49,1900-01-00 00:00:00,CamEstacio,2C:5D:93:7C:2D:58,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:50,1900-01-00 00:00:00,,60:83:E7:07:83:1A,-17, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:50,1900-01-00 00:00:00,,6A:83:E7:07:83:1A,-17, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:50,1900-01-00 00:00:00,,60:83:E7:07:85:4A,-13, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:50,1900-01-00 00:00:00,,6A:83:E7:07:85:4A,-14, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:45:50,1900-01-00 00:00:00,,E0:98:06:1E:55:26,-84,,0.000000,0.000000,0.000,0.000,Client
2025-09-01 20:45:50,1900-01-00 00:00:00,M&M,60:83:E7:07:83:1A,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
