Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;B4:20:46:5C:E1:04;;1;No;WPA3,AES-CCM,SAE;No;360.0;0;86;0;20;0;0;20;;;Mon Sep  1 20:36:08 2025;Mon Sep  1 20:40:30 2025;-21;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;B4:20:46:5C:E1:08;;1;No;OPN,None;No;360.0;0;61;0;0;0;0;0;;;Mon Sep  1 20:36:08 2025;Mon Sep  1 20:40:19 2025;-21;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;TC;B4:20:46:5C:E1:06;;1;No;WPA2,AES-CCM;No;360.0;0;72;0;0;0;0;0;;;Mon Sep  1 20:36:08 2025;Mon Sep  1 20:40:33 2025;-19;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;TC-2;B4:20:46:5C:E1:0C;;1;No;WPA2,AES-CCM;No;360.0;0;66;0;0;0;0;0;;;Mon Sep  1 20:36:08 2025;Mon Sep  1 20:40:33 2025;-19;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;AA:2C:21:49:DD:31;;1;No;WPA2,AES-CCM;No;540.0;0;21;0;0;0;0;0;;;Mon Sep  1 20:36:08 2025;Mon Sep  1 20:39:50 2025;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;B4:20:46:88:9C:88;;1;No;OPN,None;No;360.0;0;137;0;0;0;0;0;;;Mon Sep  1 20:36:08 2025;Mon Sep  1 20:40:33 2025;-13;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;3C:5C:F1:3D:D8:E4;;1;No;WPA3,AES-CCM,SAE;No;360.0;0;151;0;3;0;0;3;;;Mon Sep  1 20:36:08 2025;Mon Sep  1 20:40:33 2025;-3;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;3C:5C:F1:3D:D8:E8;;1;No;OPN,None;No;360.0;0;153;0;0;0;0;0;;;Mon Sep  1 20:36:08 2025;Mon Sep  1 20:40:33 2025;-3;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;TC;3C:5C:F1:3D:D8:E6;;1;No;WPA2,AES-CCM;No;360.0;0;149;0;13;0;0;13;;;Mon Sep  1 20:36:08 2025;Mon Sep  1 20:40:33 2025;-3;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;TC-2;3C:5C:F1:3D:D8:EC;;1;No;WPA2,AES-CCM;No;360.0;0;150;0;0;0;0;0;;;Mon Sep  1 20:36:08 2025;Mon Sep  1 20:40:33 2025;-3;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;B4:20:46:88:9C:84;;1;No;WPA3,AES-CCM,SAE;No;360.0;0;150;0;0;0;0;0;;;Mon Sep  1 20:36:09 2025;Mon Sep  1 20:40:33 2025;-13;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Casa32;B4:20:46:88:9C:86;;1;No;WPA2,AES-CCM;No;360.0;0;140;0;21;0;0;21;;;Mon Sep  1 20:36:09 2025;Mon Sep  1 20:40:30 2025;-15;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;;6A:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;39;0;20;0;0;20;;;Mon Sep  1 20:36:09 2025;Mon Sep  1 20:40:34 2025;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;;6A:83:E7:07:83:1A;;2;No;WPA2,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Mon Sep  1 20:36:09 2025;Mon Sep  1 20:36:34 2025;-26;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;M&M_Guest;66:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;42;0;0;0;0;0;;;Mon Sep  1 20:36:09 2025;Mon Sep  1 20:40:34 2025;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;M&M;60:83:E7:07:85:46;;2;No;WPA2,AES-CCM;No;360.0;0;44;0;22;0;0;22;;;Mon Sep  1 20:36:09 2025;Mon Sep  1 20:40:34 2025;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;M&M_Guest;66:83:E7:07:85:46;;2;No;WPA2,AES-CCM;No;360.0;0;40;0;0;0;0;0;;;Mon Sep  1 20:36:09 2025;Mon Sep  1 20:40:34 2025;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;M&M;60:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;42;0;14;0;0;14;;;Mon Sep  1 20:36:09 2025;Mon Sep  1 20:40:34 2025;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;;62:02:14:B6:E8:8B;;5;No;OPN,None;No;360.0;0;159;0;0;0;0;0;;;Mon Sep  1 20:36:10 2025;Mon Sep  1 20:40:36 2025;-126;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;32_Burotto-Xiaomi;5C:02:14:B6:E8:8B;;5;No;WPA2,AES-CCM;No;360.0;0;139;0;8;0;0;8;;;Mon Sep  1 20:36:11 2025;Mon Sep  1 20:40:36 2025;-126;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;;3C:5C:F1:04:77:C4;;1;No;WPA3,AES-CCM,SAE;No;360.0;0;57;0;0;0;0;0;;;Mon Sep  1 20:36:12 2025;Mon Sep  1 20:40:30 2025;-22;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;M&M_Guest;66:83:E7:07:83:1A;;2;No;WPA2,AES-CCM;No;360.0;0;8;0;0;0;0;0;;;Mon Sep  1 20:36:13 2025;Mon Sep  1 20:39:47 2025;-20;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;32_Burotto-Xiaomi;64:64:4A:BB:11:23;;5;No;WPA2,AES-CCM;No;360.0;0;49;0;0;0;0;0;;;Mon Sep  1 20:36:15 2025;Mon Sep  1 20:40:32 2025;-22;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;;6A:83:E7:07:85:46;;2;No;WPA2,AES-CCM;No;360.0;0;30;0;15;0;0;15;;;Mon Sep  1 20:36:16 2025;Mon Sep  1 20:40:34 2025;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;;6A:64:4A:BB:11:23;;5;No;OPN,None;No;360.0;0;61;0;0;0;0;0;;;Mon Sep  1 20:36:18 2025;Mon Sep  1 20:40:36 2025;-23;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;BELCAR3.0_2.4G_EXT;EC:75:0C:D3:69:CC;;11;No;WPA2,WPA,AES-CCM;No;360.0;0;5;0;0;0;0;0;;;Mon Sep  1 20:36:18 2025;Mon Sep  1 20:39:46 2025;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;;3C:5C:F1:3D:D8:EE;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:36:19 2025;Mon Sep  1 20:40:33 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;;B4:20:46:5C:E1:0E;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:36:19 2025;Mon Sep  1 20:40:30 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;;B4:20:46:88:9C:8E;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:36:19 2025;Mon Sep  1 20:40:33 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;;6E:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;48;0;0;0;0;0;;;Mon Sep  1 20:36:23 2025;Mon Sep  1 20:40:34 2025;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;TC;3C:5C:F1:04:77:C6;;1;No;WPA2,AES-CCM;No;360.0;0;47;0;0;0;0;0;;;Mon Sep  1 20:36:26 2025;Mon Sep  1 20:40:30 2025;-20;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;;3C:5C:F1:04:77:CE;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:36:30 2025;Mon Sep  1 20:40:19 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;;AA:2C:21:69:DD:31;;1;No;WPA2,AES-CCM;No;540.0;0;14;0;0;0;0;0;;;Mon Sep  1 20:36:34 2025;Mon Sep  1 20:39:39 2025;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;;54:3D:92:16:FB:38;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:36:37 2025;Mon Sep  1 20:40:26 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
