Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;B4:20:46:88:9C:84;;1;No;WPA3,AES-CCM,SAE;No;360.0;0;91;0;0;0;0;0;;;Mon Sep  1 20:43:10 2025;Mon Sep  1 20:45:29 2025;-3;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;B4:20:46:88:9C:88;;1;No;OPN,None;No;360.0;0;92;0;0;0;0;0;;;Mon Sep  1 20:43:10 2025;Mon Sep  1 20:45:29 2025;-3;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Casa32;B4:20:46:88:9C:86;;1;No;WPA2,AES-CCM;No;360.0;0;92;0;7;0;0;7;;;Mon Sep  1 20:43:10 2025;Mon Sep  1 20:45:29 2025;-4;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;M&M_Guest;66:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;55;0;0;0;0;0;;;Mon Sep  1 20:43:10 2025;Mon Sep  1 20:45:30 2025;-22;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;6A:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;51;0;38;0;0;38;;;Mon Sep  1 20:43:10 2025;Mon Sep  1 20:45:30 2025;-23;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;M&M;60:83:E7:07:85:46;;2;No;WPA2,AES-CCM;No;360.0;0;10;0;5;0;0;5;;;Mon Sep  1 20:43:10 2025;Mon Sep  1 20:45:12 2025;-23;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;M&M;60:83:E7:07:83:1A;;2;No;WPA2,AES-CCM;No;360.0;0;58;0;30;0;0;30;;;Mon Sep  1 20:43:10 2025;Mon Sep  1 20:45:26 2025;-21;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;M&M;60:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;56;0;26;0;0;26;;;Mon Sep  1 20:43:10 2025;Mon Sep  1 20:45:30 2025;-23;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;M&M_Guest;66:83:E7:07:83:1A;;2;No;WPA2,AES-CCM;No;360.0;0;57;0;0;0;0;0;;;Mon Sep  1 20:43:11 2025;Mon Sep  1 20:45:30 2025;-21;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;6E:83:E7:07:85:4A;;2;No;WPA2,AES-CCM;No;360.0;0;63;0;0;0;0;0;;;Mon Sep  1 20:43:11 2025;Mon Sep  1 20:45:30 2025;-22;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
