Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;32_Burotto-Xiaomi;64:64:4A:BB:11:23;;5;No;WPA2,AES-CCM;No;360.0;0;119;0;0;0;0;0;;;Mon Sep  1 20:45:51 2025;Mon Sep  1 20:48:26 2025;-126;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;;6A:64:4A:BB:11:23;;5;No;OPN,None;No;360.0;0;122;0;0;0;0;0;;;Mon Sep  1 20:45:51 2025;Mon Sep  1 20:48:26 2025;-126;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;;62:02:14:B6:E8:8B;;5;No;OPN,None;No;360.0;0;77;0;0;0;0;0;;;Mon Sep  1 20:45:51 2025;Mon Sep  1 20:48:26 2025;-17;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;32_Burotto-Xiaomi;5C:02:14:B6:E8:8B;;5;No;WPA2,AES-CCM;No;360.0;0;51;0;10;0;0;10;;;Mon Sep  1 20:45:52 2025;Mon Sep  1 20:48:25 2025;-17;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;TC;3C:5C:F1:3D:D8:E6;;1;No;WPA2,AES-CCM;No;360.0;0;23;0;9;0;0;9;;;Mon Sep  1 20:45:53 2025;Mon Sep  1 20:48:27 2025;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;TC-2;3C:5C:F1:3D:D8:EC;;1;No;WPA2,AES-CCM;No;360.0;0;27;0;0;0;0;0;;;Mon Sep  1 20:45:53 2025;Mon Sep  1 20:48:23 2025;-19;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;Wifi_GrupoGTD_2EEF;62:02:71:C0:2E:F0;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;7;0;0;0;0;0;;;Mon Sep  1 20:45:59 2025;Mon Sep  1 20:48:22 2025;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;;64:97:14:C7:1A:C4;;1;No;WPA3,AES-CCM,SAE;No;360.0;0;8;0;0;0;0;0;;;Mon Sep  1 20:46:00 2025;Mon Sep  1 20:48:12 2025;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;;64:97:14:C7:1A:C8;;1;No;OPN,None;No;360.0;0;4;0;0;0;0;0;;;Mon Sep  1 20:46:00 2025;Mon Sep  1 20:47:11 2025;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;Pbcasa;00:02:71:B9:18:67;;11;No;WPA2,AES-CCM;No;130.0;0;17;0;2;0;0;2;;;Mon Sep  1 20:46:10 2025;Mon Sep  1 20:48:22 2025;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;LEDnet0033556ADE;B4:E8:42:55:6A:DE;;6;No;OPN,None;No;65.0;0;6;0;0;0;0;0;;;Mon Sep  1 20:46:10 2025;Mon Sep  1 20:47:18 2025;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;;54:3D:92:16:FB:38;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep  1 20:46:14 2025;Mon Sep  1 20:48:05 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;Gonzalo;64:97:14:C7:1A:C6;;1;No;WPA2,AES-CCM;No;360.0;0;8;0;0;0;0;0;;;Mon Sep  1 20:46:14 2025;Mon Sep  1 20:48:27 2025;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;M&M;60:83:E7:07:85:46;;2;No;WPA2,AES-CCM;No;360.0;0;0;0;7;0;0;7;;;Mon Sep  1 20:46:22 2025;Mon Sep  1 20:48:13 2025;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;M&M_Guest;66:83:E7:07:85:46;;2;No;WPA2,AES-CCM;No;360.0;0;1;0;0;0;0;0;;;Mon Sep  1 20:46:29 2025;Mon Sep  1 20:48:17 2025;-26;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
