,0
0,0.07157855445495337
1,0.0
2,0.011929759075825611
3,0.013918052255129846
4,0.016237727630984803
5,0.0
6,0.007014256493656764
7,0.010171592421903707
8,0.009878564646250115
9,0.03416060237963247
10,0.04639192560569634
11,0.02109349285277024
12,0.0
13,0.019756473663001022
14,0.05656843440827783
15,0.0
16,0.03846890927387813
17,0.0
18,0.0
19,0.01753303148507455
20,0.011293377699015575
21,0.04049890437270897
22,0.0
23,0.03272040069318552
24,0.03757224080606254
25,0.021973771818658474
26,0.022713895207589097
27,0.02033447937562451
28,0.024848528837470563
29,0.04464487152436792
30,0.025624222000490776
31,0.02668996146070023
32,0.0274759930677072
33,0.028269676044393493
34,0.029592208822521695
35,0.0
36,0.05266205278680067
37,0.026056696707023357
38,0.025951152581410526
39,0.0
40,0.0
41,0.020074740784455494
42,0.038366867608551285
43,0.016560538619082507
44,0.014977845604425721
45,0.0
46,0.018342455566828467
47,0.018053741363890593
48,0.0
49,0.0
